transID,payCardID,payCardBank,payCardName,payCardSex,payCardBirthDate,corridorID,corridorName,direction,tapInStops,tapInStopsName,tapInStopsLat,tapInStopsLon,stopStartSeq,tapInTime,tapOutStops,tapOutStopsName,tapOutStopsLat,tapOutStopsLon,stopEndSeq,tapOutTime,payAmount,date,delay_minutes,route_name,hour,transDate,vehicle_id,distance_km,on_time,revenue_per_km,satisfaction_score
ELVU605Z3W26IF,2718070346782735,dki,Asman Uyainah,F,2005,2,Pulo Gadung - Monas,0.0,P00202,Rawa Selatan,-6.173925,106.85809,9,2023-04-03 06:35:17,P00161,Pecenongan,-6.16771,106.82819,18.0,2023-04-03 07:17:52,3500.0,2023-04-03,3.7752446094440097,Corridor 2,6,2023-04-03,1016,11.473563735697024,1,305.0490746053605,81.12377695277995
TSGM259F6P64OW,3539535695881465,dki,"Dr. Zulfa Tamba, S.E.I",M,1986,2,Pulo Gadung - Monas,1.0,P00037,Cempaka Tengah,-6.170398,106.86659,8,2023-04-03 16:56:05,P00192,Pulo Gadung 1,-6.183239,106.90907,15.0,2023-04-03 18:25:34,3500.0,2023-04-03,0.22094710642497883,Corridor 2,16,2023-04-03,1008,14.866888850036286,1,235.42249056307818,98.89526446787511
NANH684O0O94KO,2718070346782735,dki,Asman Uyainah,F,2005,2,Pulo Gadung - Monas,1.0,P00014,Bermis,-6.178203,106.89859,14,2023-04-03 17:10:38,P00192,Pulo Gadung 1,-6.183239,106.90907,15.0,2023-04-03 18:37:34,3500.0,2023-04-03,4.534890219673336,Corridor 2,17,2023-04-03,1020,14.545260971837362,1,240.62820232491703,77.32554890163331
XJLA055V1R38LG,3539535695881465,dki,"Dr. Zulfa Tamba, S.E.I",M,1986,2,Pulo Gadung - Monas,0.0,P00202,Rawa Selatan,-6.173925,106.85809,9,2023-04-04 06:31:51,P00137,Monas,-6.176248,106.82286,19.0,2023-04-04 07:29:46,3500.0,2023-04-04,3.3292131109230545,Corridor 2,6,2023-04-04,1048,14.582212569888082,1,240.01844598174463,83.35393444538472
QLMA752E3J45WT,2718070346782735,dki,Asman Uyainah,F,2005,2,Pulo Gadung - Monas,1.0,P00014,Bermis,-6.178203,106.89859,14,2023-04-04 16:46:40,P00192,Pulo Gadung 1,-6.183239,106.90907,15.0,2023-04-04 18:10:23,3500.0,2023-04-04,4.55570784292015,Corridor 2,16,2023-04-04,1030,14.239530648019773,1,245.7946182718269,77.22146078539924
NUTP782U4K34ZB,3539535695881465,dki,"Dr. Zulfa Tamba, S.E.I",M,1986,2,Pulo Gadung - Monas,0.0,P00202,Rawa Selatan,-6.173925,106.85809,9,2023-04-05 06:46:20,P00137,Monas,-6.176248,106.82286,19.0,2023-04-05 07:28:56,3500.0,2023-04-05,0.9411280376802877,Corridor 2,6,2023-04-05,1004,10.202451341891814,1,343.05480935045597,95.29435981159855
WWJJ974H4T50RT,2718070346782735,dki,Asman Uyainah,F,2005,2,Pulo Gadung - Monas,0.0,P00202,Rawa Selatan,-6.173925,106.85809,9,2023-04-05 06:15:01,P00161,Pecenongan,-6.16771,106.82819,18.0,2023-04-05 06:49:21,3500.0,2023-04-05,7.911249601143273,Corridor 2,6,2023-04-05,1021,9.196622429073603,0,380.57450188835935,60.44375199428364
FMPL138X1M29CE,3539535695881465,dki,"Dr. Zulfa Tamba, S.E.I",M,1986,2,Pulo Gadung - Monas,1.0,P00037,Cempaka Tengah,-6.170398,106.86659,8,2023-04-05 16:49:42,P00192,Pulo Gadung 1,-6.183239,106.90907,15.0,2023-04-05 18:18:54,3500.0,2023-04-05,0.0,Corridor 2,16,2023-04-05,1042,9.613881857181699,1,364.05689730683065,100.0
IAPJ230P8G02ON,2718070346782735,dki,Asman Uyainah,F,2005,2,Pulo Gadung - Monas,1.0,P00014,Bermis,-6.178203,106.89859,14,2023-04-05 16:00:44,P00192,Pulo Gadung 1,-6.183239,106.90907,15.0,2023-04-05 18:00:15,3500.0,2023-04-05,2.656149500839916,Corridor 2,16,2023-04-05,1028,10.447166790440008,1,335.01906021092526,86.71925249580042
AFPD604Z0T21VD,3539535695881465,dki,"Dr. Zulfa Tamba, S.E.I",M,1986,2,Pulo Gadung - Monas,0.0,P00202,Rawa Selatan,-6.173925,106.85809,9,2023-04-06 06:19:48,P00137,Monas,-6.176248,106.82286,19.0,2023-04-06 06:54:17,3500.0,2023-04-06,4.094495666414208,Corridor 2,6,2023-04-06,1045,8.691295399217967,1,402.7017652989825,79.52752166792897
